Date,Open,High,Low,Close,Volume
2024-04-25,80.62,83.10000000000001,78.67,80.2,31225964
2024-04-26,89.26,90.04,87.5,87.96,37866537
2024-04-29,85.98,87.52000000000001,84.22,87.22,17152747
2024-04-30,83.98,86.23,82.78,84.79,47691702
2024-05-01,77.34,79.32000000000001,76.22,77.46,47872354
2024-05-02,77.34,79.23,76.43,77.72,35625121
2024-05-03,75.87,77.77000000000001,75.29,77.64,34242589
2024-05-06,87.99,89.21,86.19,86.65,11020154
2024-05-07,84.02,85.11,82.3,83.95,48499601
2024-05-08,85.62,87.74000000000001,83.62,85.7,16733215
2024-05-09,75.31,77.43,73.32000000000001,75.83,18195810
2024-05-10,89.55,91.78,88.22,88.28,42339834
2024-05-13,87.49,89.82,85.83999999999999,89.31,39900787
2024-05-14,78.19,79.71,76.27,79.48,34948764
2024-05-15,77.73,79.23,75.96000000000001,77.81,16714301
2024-05-16,77.75,79.85,76.88,78.95,37259197
2024-05-17,79.56,81.36,78.38,81.13,20760888
2024-05-20,82.87,84.77000000000001,82.18,84.01,21305231
2024-05-21,81.48,83.57000000000001,79.55,80.16,36035947
2024-05-22,79.37,81.65,77.96000000000001,80.09,42909688
2024-05-23,84.18,85.36000000000001,83.34,84.57,21374857
2024-05-24,77.09,78.34,75.58,76.75,45414014
2024-05-27,79.38,80.07,77.94999999999999,79.51,39610323
2024-05-28,80.5,82.16,79.46,81.98,23775236
2024-05-29,81.84,82.41,81.17,82.32,28907101
2024-05-30,86.78,88.21000000000001,85.27,86.6,24372528
2024-05-31,78.0,79.59,76.72,77.04,14720642
2024-06-03,82.71,83.77999999999999,81.05,83.74,10549239
2024-06-04,83.89,85.57000000000001,82.61,85.09,35722525
2024-06-05,75.7,76.26,73.92,74.21,48963185
2024-06-06,84.11,84.67999999999999,82.78,84.53,19659072
2024-06-07,77.56,79.71000000000001,76.22,79.26,27562548
2024-06-10,75.98,77.2,74.17,75.74,24376941
2024-06-11,89.23,89.98,88.12,89.22,35332296
2024-06-12,89.48,91.02000000000001,88.78,89.67,10397710
2024-06-13,87.13,89.17,86.58999999999999,86.73,14317048
2024-06-14,79.57,80.5,77.94,78.8,43381719
2024-06-17,76.47,78.22,75.03999999999999,77.59,24133434
2024-06-18,85.26,85.93,83.7,83.71,14785956
2024-06-19,81.6,82.19999999999999,80.78,81.25,31882940
2024-06-20,76.83,78.39,76.13,77.03,48580196
2024-06-21,82.43,84.01,81.91000000000001,83.04,27687991
2024-06-24,75.52,77.28999999999999,74.49,77.07,49509310
2024-06-25,88.64,90.59,87.26,88.41,41061293
2024-06-26,78.88,81.33,77.78999999999999,79.02,40272855
2024-06-27,84.94,86.47,83.78,85.76,27336140
2024-06-28,79.68,80.83000000000001,77.82000000000001,79.18,30658401
2024-07-01,82.8,84.89,81.78,82.48,48559430
2024-07-02,83.2,84.24000000000001,81.93,82.98,39178419
2024-07-03,77.77,79.14999999999999,76.08999999999999,76.52,20679043
2024-07-04,89.54,90.2,88.45,88.76,32470291
2024-07-05,86.63,87.17999999999999,85.19999999999999,86.19,48747710
2024-07-08,89.09,91.52000000000001,87.3,89.07,20812658
2024-07-09,88.42,90.59,86.5,90.24,10302186
2024-07-10,83.97,85.86,83.25,84.2,29984609
2024-07-11,88.83,90.14999999999999,86.94,88.8,49043896
2024-07-12,76.33,77.17999999999999,75.09,76.41,17456985
2024-07-15,77.94,78.75,77.05,77.07,33544744
2024-07-16,75.68,76.68,74.49000000000001,75.94,27803769
2024-07-17,79.88,81.47999999999999,77.91,78.55,37381509
2024-07-18,80.83,82.76,79.59,82.64,26727556
2024-07-19,79.07,80.88999999999999,78.08,78.5,30521013
2024-07-22,87.43,88.49000000000001,85.98,87.02,11514542
2024-07-23,80.35,82.75999999999999,79.49,79.77,47735088
2024-07-24,79.21,81.19,78.6,81.18,21318792
2024-07-25,83.14,84.75,82.45,83.61,35242722
2024-07-26,77.11,78.83,76.42,77.85,25135763
2024-07-29,87.03,88.37,86.3,86.44,18676924
2024-07-30,76.12,77.12,75.41000000000001,76.69,34124905
2024-07-31,89.8,91.00999999999999,88.34,88.9,45383985
2024-08-01,86.58,88.6,85.81,88.32,39254481
2024-08-02,77.98,78.51,76.96000000000001,77.28,46595773
2024-08-05,75.08,75.81,73.23,73.72,39253634
2024-08-06,87.23,87.82000000000001,86.02000000000001,86.09,24315679
2024-08-07,85.6,86.17999999999999,84.1,85.08,34440805
2024-08-08,85.94,88.14999999999999,85.17999999999999,86.86,31765239
2024-08-09,86.57,88.47999999999999,85.77999999999999,85.96,34586222
2024-08-12,76.11,77.56,75.55,77.11,25527000
2024-08-13,80.38,81.08,79.63,80.29,28453059
2024-08-14,76.74,78.22,75.82,77.08,18423309
2024-08-15,87.95,89.4,87.18,88.16,13229028
2024-08-16,84.35,85.19999999999999,83.72,84.31,28498826
2024-08-19,79.96,81.33,79.27999999999999,80.43,20569320
2024-08-20,75.95,77.25,74.76,75.15,12339767
2024-08-21,79.66,81.39,78.85,79.31,41500922
2024-08-22,79.88,81.64999999999999,78.83,81.26,29391451
2024-08-23,85.94,86.53,84.67999999999999,86.43,44045468
2024-08-26,84.56,85.81,83.02,84.06,20851224
2024-08-27,88.31,90.06,87.75,88.38,46264673
2024-08-28,82.08,83.59,80.38,82.45,21822411
2024-08-29,76.79,79.0,75.35000000000001,76.84,27920169
2024-08-30,85.7,87.52,85.08,85.14,13978702
2024-09-02,86.41,87.24,84.6,85.01,27104132
2024-09-03,83.42,84.06,81.54,83.34,13597706
2024-09-04,86.56,88.34,85.97,87.53,48060986
2024-09-05,82.41,82.96,81.49,81.53,10605409
2024-09-06,82.84,84.51,81.13000000000001,81.88,19462743
2024-09-09,81.41,83.78999999999999,79.78999999999999,80.71,21377787
2024-09-10,75.38,77.03,74.6,76.23,31827621
2024-09-11,76.62,77.9,75.81,75.85,45280122
2024-09-12,75.47,77.26,74.41,74.71,30057988
2024-09-13,84.55,85.97,83.32,85.44,18197295
2024-09-16,79.72,81.31,78.28999999999999,78.83,15809041
2024-09-17,82.63,85.00999999999999,81.58,83.82,22546501
2024-09-18,88.61,89.88,87.42,88.01,48641700
2024-09-19,78.74,81.16,77.11999999999999,77.52,16155579
2024-09-20,81.16,83.47,80.6,81.3,10403119
2024-09-23,86.33,87.22,85.45,86.73,26556827
2024-09-24,78.43,79.07000000000001,76.86000000000001,78.75,40495692
2024-09-25,76.15,76.85000000000001,74.31,76.42,42027216
2024-09-26,79.35,79.89,78.08,78.8,43957164
2024-09-27,77.42,78.11,76.12,77.45,11950013
2024-09-30,88.95,90.82000000000001,88.29,88.81,11132658
2024-10-01,87.12,87.76,85.95,86.48,47877058
2024-10-02,84.5,85.64,83.2,85.39,27434167
2024-10-03,88.07,90.25999999999999,87.21,87.25,35177127
2024-10-04,87.06,87.61,86.16,86.28,36376033
2024-10-07,77.8,79.92999999999999,76.73,77.4,23881178
2024-10-08,88.39,89.45,87.86,87.9,31981132
2024-10-09,83.09,83.83,82.11,82.42,16026988
2024-10-10,87.11,89.0,86.29,87.87,25590661
2024-10-11,88.44,90.2,87.45,88.61,34203479
2024-10-14,79.77,82.02,79.08999999999999,81.71,12366610
2024-10-15,76.65,78.62,74.81,77.92,47734735
2024-10-16,78.42,80.53,77.03,78.23,19456807
2024-10-17,81.41,82.47,79.89,80.56,39342048
2024-10-18,87.27,88.11999999999999,85.58999999999999,86.55,14684346
2024-10-21,87.91,89.91,86.66,88.58,44012730
